,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test,p-value (FDR)
33,2017-06-18 00:00:00-2017-07-02 00:00:00,25.6,54.89,384,2017-11-12 00:00:00-2017-12-10 00:00:00,1.97,5.07,57,0.5955603608843958,0.5574330303374664,False,False,0.7033600779832025,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
428,2019-12-22 00:00:00-2019-12-29 00:00:00,20.75,39.04,166,2019-07-07 00:00:00-2019-07-28 00:00:00,6.23,14.2,137,0.6045398568525222,0.5596513716266049,True,False,0.6604458513233891,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
9,2017-03-05 00:00:00-2019-12-29 00:00:00,14.99,39.95,15443,2017-11-12 00:00:00-2017-12-10 00:00:00,1.97,5.07,57,-0.5838175235161119,0.5638762456153285,False,False,1.449920994520874e-31,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
415,2019-12-22 00:00:00-2019-12-29 00:00:00,20.75,39.04,166,2017-07-16 00:00:00-2017-08-06 00:00:00,4.68,10.65,103,0.596873985519987,0.5645006400299173,True,False,0.6604458513233891,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
169,2018-07-08 00:00:00-2018-07-22 00:00:00,40.53,84.18,608,2018-08-19 00:00:00-2018-09-23 00:00:00,4.42,10.3,159,0.5780322070325942,0.5694960827477316,False,False,0.4760334929424296,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
294,2019-04-07 00:00:00-2019-04-28 00:00:00,17.59,38.53,387,2017-05-28 00:00:00-2017-06-11 00:00:00,2.67,7.4,40,0.5627328204455336,0.577313709606821,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
337,2019-07-28 00:00:00-2019-08-11 00:00:00,22.53,47.14,338,2018-08-19 00:00:00-2018-09-23 00:00:00,4.42,10.3,159,0.5645740372689596,0.5784449133730818,False,False,0.4760334929424296,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
241,2018-10-07 00:00:00-2018-10-21 00:00:00,20.33,42.31,305,2018-08-19 00:00:00-2018-09-23 00:00:00,4.42,10.3,159,0.5541170682157227,0.5853867880836825,False,False,0.4760334929424296,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
403,2019-10-06 00:00:00-2019-11-03 00:00:00,15.97,37.45,463,2019-06-09 00:00:00-2019-06-23 00:00:00,2.0,4.21,30,-0.5519183547475249,0.5865457619919845,False,False,0.7033600779832025,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
311,2019-04-07 00:00:00-2019-04-28 00:00:00,17.59,38.53,387,2019-12-22 00:00:00-2019-12-29 00:00:00,4.25,7.87,34,-0.5595472712491004,0.5884683268545827,False,True,0.6604458513233891,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
419,2019-12-22 00:00:00-2019-12-29 00:00:00,20.75,39.04,166,2018-05-27 00:00:00-2018-06-10 00:00:00,3.8,8.67,57,0.5523236085011314,0.5918886885655322,True,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
406,2019-10-06 00:00:00-2019-11-03 00:00:00,15.97,37.45,463,2019-10-20 00:00:00-2019-11-03 00:00:00,3.13,6.59,47,-0.5395600425876321,0.594854330618565,False,False,0.7033600779832025,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
389,2019-10-06 00:00:00-2019-11-03 00:00:00,15.97,37.45,463,2017-04-09 00:00:00-2017-04-23 00:00:00,3.67,7.96,55,-0.538519241451344,0.5957250481471816,False,False,0.7033600779832025,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
47,2017-06-18 00:00:00-2017-07-02 00:00:00,25.6,54.89,384,2019-12-22 00:00:00-2019-12-29 00:00:00,4.25,7.87,34,-0.5466952780607418,0.595805743229168,False,True,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
424,2019-12-22 00:00:00-2019-12-29 00:00:00,20.75,39.04,166,2019-01-20 00:00:00-2019-02-03 00:00:00,1.8,4.07,27,0.5397646575139292,0.6001763078441946,True,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
102,2017-11-12 00:00:00-2017-12-10 00:00:00,19.69,44.68,571,2017-05-28 00:00:00-2017-06-11 00:00:00,2.67,7.4,40,0.5215113143329498,0.6053982695190738,False,False,0.7033600779832025,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
188,2018-07-08 00:00:00-2018-07-22 00:00:00,40.53,84.18,608,2019-07-07 00:00:00-2019-07-28 00:00:00,6.23,14.2,137,0.5228356430978208,0.6058631545197031,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
145,2018-06-03 00:00:00-2018-06-17 00:00:00,22.4,46.75,336,2018-08-19 00:00:00-2018-09-23 00:00:00,4.42,10.3,159,0.5196455739589607,0.6086902040341053,False,False,0.4760334929424296,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
425,2019-12-22 00:00:00-2019-12-29 00:00:00,20.75,39.04,166,2019-02-24 00:00:00-2019-03-10 00:00:00,3.0,6.83,45,0.525879468806164,0.609314549046075,True,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
361,2019-09-01 00:00:00-2019-09-15 00:00:00,15.8,33.21,237,2018-08-19 00:00:00-2018-09-23 00:00:00,4.42,10.3,159,0.5166411035205555,0.6107755800118424,False,False,0.4760334929424296,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
217,2018-09-16 00:00:00-2018-09-30 00:00:00,21.47,44.93,322,2018-08-19 00:00:00-2018-09-23 00:00:00,4.42,10.3,159,0.5146745213620435,0.6121003573487986,False,False,0.4760334929424296,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
175,2018-07-08 00:00:00-2018-07-22 00:00:00,40.53,84.18,608,2017-07-16 00:00:00-2017-08-06 00:00:00,4.68,10.65,103,0.5122511851448055,0.6131157190296608,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
356,2019-07-28 00:00:00-2019-08-11 00:00:00,22.53,47.14,338,2019-07-07 00:00:00-2019-07-28 00:00:00,6.23,14.2,137,0.510048107566058,0.614655007918079,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
30,2017-06-18 00:00:00-2017-07-02 00:00:00,25.6,54.89,384,2017-05-28 00:00:00-2017-06-11 00:00:00,2.67,7.4,40,0.5072776196989711,0.6160772169667033,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
49,2017-07-09 00:00:00-2017-07-23 00:00:00,30.4,63.7,456,2018-08-19 00:00:00-2018-09-23 00:00:00,4.42,10.3,159,0.5043509749422672,0.6191875648294345,False,False,0.4760334929424296,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
343,2019-07-28 00:00:00-2019-08-11 00:00:00,22.53,47.14,338,2017-07-16 00:00:00-2017-08-06 00:00:00,4.68,10.65,103,0.4994792018154903,0.6219466737230088,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
260,2018-10-07 00:00:00-2018-10-21 00:00:00,20.33,42.31,305,2019-07-07 00:00:00-2019-07-28 00:00:00,6.23,14.2,137,0.4991459873015962,0.6221463346562413,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
193,2018-07-29 00:00:00-2018-08-19 00:00:00,27.14,59.1,597,2018-08-19 00:00:00-2018-09-23 00:00:00,4.42,10.3,159,0.49572968290801905,0.6230522874601139,False,False,0.7332713908212207,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
247,2018-10-07 00:00:00-2018-10-21 00:00:00,20.33,42.31,305,2017-07-16 00:00:00-2017-08-06 00:00:00,4.68,10.65,103,0.48846259438615225,0.629561030154462,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
405,2019-10-06 00:00:00-2019-11-03 00:00:00,15.97,37.45,463,2019-08-04 00:00:00-2019-08-18 00:00:00,4.8,10.47,72,-0.4887885519006083,0.629791951462712,False,False,0.7033600779832025,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
410,2019-12-22 00:00:00-2019-12-29 00:00:00,20.75,39.04,166,2018-09-30 00:00:00-2018-10-14 00:00:00,3.27,7.24,49,0.48946865118807475,0.633937290691097,True,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
121,2018-03-18 00:00:00-2018-04-01 00:00:00,20.33,42.63,305,2018-08-19 00:00:00-2018-09-23 00:00:00,4.42,10.3,159,0.4766902000719788,0.6383598563076431,False,False,0.4760334929424296,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
421,2019-12-22 00:00:00-2019-12-29 00:00:00,20.75,39.04,166,2018-07-29 00:00:00-2018-08-19 00:00:00,5.18,11.64,114,0.47956274922360326,0.6416373045877755,True,False,0.6604458513233891,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
215,2018-07-29 00:00:00-2018-08-19 00:00:00,27.14,59.1,597,2019-12-22 00:00:00-2019-12-29 00:00:00,4.25,7.87,34,-0.4796155833141874,0.6416396004030208,False,True,0.6604458513233891,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
164,2018-06-03 00:00:00-2018-06-17 00:00:00,22.4,46.75,336,2019-07-07 00:00:00-2019-07-28 00:00:00,6.23,14.2,137,0.46513874695503615,0.6458830317566349,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
416,2019-12-22 00:00:00-2019-12-29 00:00:00,20.75,39.04,166,2017-08-13 00:00:00-2017-09-03 00:00:00,3.82,8.43,84,0.4715980981180769,0.6471704245008624,True,False,0.6604458513233891,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
380,2019-09-01 00:00:00-2019-09-15 00:00:00,15.8,33.21,237,2019-07-07 00:00:00-2019-07-28 00:00:00,6.23,14.2,137,0.46272328928649614,0.6476104746131037,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
236,2018-09-16 00:00:00-2018-09-30 00:00:00,21.47,44.93,322,2019-07-07 00:00:00-2019-07-28 00:00:00,6.23,14.2,137,0.46044469036398145,0.6492011584657558,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
420,2019-12-22 00:00:00-2019-12-29 00:00:00,20.75,39.04,166,2018-07-08 00:00:00-2018-07-22 00:00:00,4.33,9.66,65,0.4633859938517158,0.6517284800997188,True,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
95,2017-07-30 00:00:00-2017-08-13 00:00:00,31.4,67.67,471,2019-12-22 00:00:00-2019-12-29 00:00:00,4.25,7.87,34,-0.4616919842996432,0.6529498864750276,False,True,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
399,2019-10-06 00:00:00-2019-11-03 00:00:00,15.97,37.45,463,2018-09-16 00:00:00-2018-09-30 00:00:00,4.67,10.16,70,-0.4556714905938063,0.6529617828571189,False,False,0.7033600779832025,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
265,2019-02-24 00:00:00-2019-03-10 00:00:00,24.8,52.05,372,2018-08-19 00:00:00-2018-09-23 00:00:00,4.42,10.3,159,0.4555391518014399,0.6532092076294487,False,False,0.4760334929424296,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
151,2018-06-03 00:00:00-2018-06-17 00:00:00,22.4,46.75,336,2017-07-16 00:00:00-2017-08-06 00:00:00,4.68,10.65,103,0.4543212048969769,0.6535221315411825,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
335,2019-07-07 00:00:00-2019-07-21 00:00:00,35.6,75.24,534,2019-12-22 00:00:00-2019-12-29 00:00:00,4.25,7.87,34,-0.4607140867065149,0.653737008237658,False,True,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
367,2019-09-01 00:00:00-2019-09-15 00:00:00,15.8,33.21,237,2017-07-16 00:00:00-2017-08-06 00:00:00,4.68,10.65,103,0.4519670216871255,0.6552142989544766,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
68,2017-07-09 00:00:00-2017-07-23 00:00:00,30.4,63.7,456,2019-07-07 00:00:00-2019-07-28 00:00:00,6.23,14.2,137,0.4503003522977445,0.6563779645090851,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
223,2018-09-16 00:00:00-2018-09-30 00:00:00,21.47,44.93,322,2017-07-16 00:00:00-2017-08-06 00:00:00,4.68,10.65,103,0.44963496771259653,0.6568519180763406,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
179,2018-07-08 00:00:00-2018-07-22 00:00:00,40.53,84.18,608,2018-05-27 00:00:00-2018-06-10 00:00:00,3.8,8.67,57,0.44885727149603005,0.6572231353125314,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
287,2019-02-24 00:00:00-2019-03-10 00:00:00,24.8,52.05,372,2019-12-22 00:00:00-2019-12-29 00:00:00,4.25,7.87,34,-0.45376867229367557,0.6585739829041823,False,True,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
313,2019-07-07 00:00:00-2019-07-21 00:00:00,35.6,75.24,534,2018-08-19 00:00:00-2018-09-23 00:00:00,4.42,10.3,159,0.4431881315008172,0.6619771535106482,False,False,0.4760334929424296,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
55,2017-07-09 00:00:00-2017-07-23 00:00:00,30.4,63.7,456,2017-07-16 00:00:00-2017-08-06 00:00:00,4.68,10.65,103,0.4394531863530762,0.6640927989728642,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
347,2019-07-28 00:00:00-2019-08-11 00:00:00,22.53,47.14,338,2018-05-27 00:00:00-2018-06-10 00:00:00,3.8,8.67,57,0.4369068224327226,0.6657552296887368,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
184,2018-07-08 00:00:00-2018-07-22 00:00:00,40.53,84.18,608,2019-01-20 00:00:00-2019-02-03 00:00:00,1.8,4.07,27,0.43222248007564695,0.6691032669110215,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
73,2017-07-30 00:00:00-2017-08-13 00:00:00,31.4,67.67,471,2018-08-19 00:00:00-2018-09-23 00:00:00,4.42,10.3,159,0.4324278983467702,0.6697096287122137,False,False,0.4760334929424296,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
143,2018-03-18 00:00:00-2018-04-01 00:00:00,20.33,42.63,305,2019-12-22 00:00:00-2019-12-29 00:00:00,4.25,7.87,34,-0.43769958840445555,0.6697488257500925,False,True,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
212,2018-07-29 00:00:00-2018-08-19 00:00:00,27.14,59.1,597,2019-07-07 00:00:00-2019-07-28 00:00:00,6.23,14.2,137,0.42934061370715954,0.6699972143027719,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
418,2019-12-22 00:00:00-2019-12-29 00:00:00,20.75,39.04,166,2018-01-21 00:00:00-2018-02-11 00:00:00,2.05,4.59,45,0.43802680670724253,0.6702346936132253,True,False,0.6604458513233891,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
394,2019-10-06 00:00:00-2019-11-03 00:00:00,15.97,37.45,463,2018-01-21 00:00:00-2018-02-11 00:00:00,2.05,4.59,45,-0.4244496966138682,0.6735739185240239,False,False,1.0,29663,220545,24,18,Trend,Demographics,mean,0.9964687077607145
