,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test,p-value (FDR)
1085,2019-04-03 00:00:00-2019-06-06 00:00:00,0.05,0.28,3,2018-07-23 00:00:00-2018-09-30 00:00:00,0.04,0.2,3,-0.6642826942536647,0.5077652667383029,False,False,1.0,160139,71070,58,54,Demographics,Promotion,mean,0.5918979132738892
3131,2019-04-04 00:00:00-2019-12-05 00:00:00,0.08,0.37,19,2017-04-11 00:00:00-2018-11-30 00:00:00,0.1,0.43,60,0.6625385208117746,0.50806430840817,False,False,0.0001699460772918272,160139,71070,58,54,Demographics,Promotion,mean,0.5919580251886715
1686,2019-03-05 00:00:00-2019-08-01 00:00:00,0.04,0.23,6,2017-11-02 00:00:00-2018-11-16 00:00:00,0.03,0.18,10,0.660912496037206,0.5093526578314229,False,False,0.41835859591888,160139,71070,58,54,Demographics,Promotion,mean,0.5931701838036824
1855,2019-03-08 00:00:00-2019-12-24 00:00:00,0.08,0.47,23,2017-04-11 00:00:00-2018-11-30 00:00:00,0.1,0.43,60,-0.658446025262855,0.5105318723775787,False,False,8.350785614991313e-05,160139,71070,58,54,Demographics,Promotion,mean,0.5942541307674785
2217,2019-03-05 00:00:00-2019-10-01 00:00:00,0.01,0.1,2,2017-06-06 00:00:00-2018-07-31 00:00:00,0.02,0.22,8,0.6574116613272198,0.5114608521051389,False,False,0.44779818390277204,160139,71070,58,54,Demographics,Promotion,mean,0.5950458940834107
2271,2019-04-17 00:00:00-2019-12-24 00:00:00,0.12,0.54,30,2017-03-22 00:00:00-2018-11-29 00:00:00,0.09,0.44,58,0.6521229065918765,0.514703609398302,False,False,0.027306749450797488,160139,71070,58,54,Demographics,Promotion,mean,0.5984775676433872
3001,2019-04-15 00:00:00-2019-11-06 00:00:00,0.03,0.18,7,2017-03-09 00:00:00-2018-12-14 00:00:00,0.34,1.11,222,-0.6511239572557592,0.5154900456303949,False,False,4.836766514655687e-18,160139,71070,58,54,Demographics,Promotion,mean,0.5984775676433872
1814,2019-03-08 00:00:00-2019-12-24 00:00:00,0.08,0.47,23,2018-04-23 00:00:00-2018-11-22 00:00:00,0.02,0.15,5,-0.6505536797693439,0.5157885053278254,False,False,0.1397110212572094,160139,71070,58,54,Demographics,Promotion,mean,0.5984775676433872
887,2019-07-18 00:00:00-2019-12-05 00:00:00,0.01,0.12,2,2017-04-06 00:00:00-2018-10-24 00:00:00,0.06,0.28,36,-0.6508109528185363,0.5159777936995089,False,False,4.424197037152997e-07,160139,71070,58,54,Demographics,Promotion,mean,0.5984775676433872
61,2019-02-28 00:00:00-2019-10-15 00:00:00,0.02,0.13,4,2017-06-16 00:00:00-2018-10-18 00:00:00,0.02,0.17,11,0.6499794950422666,0.5161622267833317,False,False,0.264065870255177,160139,71070,58,54,Demographics,Promotion,mean,0.5984775676433872
2251,2019-03-05 00:00:00-2019-10-01 00:00:00,0.01,0.1,2,2017-04-25 00:00:00-2018-12-12 00:00:00,0.16,0.72,93,-0.6499153628615442,0.5162785110173899,False,False,7.949853547188426e-11,160139,71070,58,54,Demographics,Promotion,mean,0.5984775676433872
