,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test,p-value (FDR)
1410,2017-02-28 00:00:00-2019-12-30 00:00:00,5.12,4.72,5308,2017-03-09 00:00:00-2019-12-30 00:00:00,1.64,2.2,1686,2.6686554148340074,0.007678896998554006,False,False,6.753986521602653e-51,29663,220545,41,61,Demographics,Demographics,mean,0.013100913875669199
1,2017-05-24 00:00:00-2019-12-20 00:00:00,0.06,0.33,59,2018-04-05 00:00:00-2019-11-15 00:00:00,0.03,0.31,17,2.6678978609029667,0.007715898948320536,False,False,8.582391072583113e-07,29663,220545,41,61,Demographics,Demographics,mean,0.01315225747323393
196,2017-11-02 00:00:00-2019-07-27 00:00:00,0.03,0.2,19,2017-05-27 00:00:00-2019-12-05 00:00:00,0.03,0.32,25,2.6641069317872716,0.007871465972945274,False,False,0.4380486891290979,29663,220545,41,61,Demographics,Demographics,mean,0.013405430422618785
496,2017-03-07 00:00:00-2019-12-30 00:00:00,2.17,2.96,2230,2017-03-07 00:00:00-2019-12-30 00:00:00,1.18,1.66,1214,2.635292271367797,0.008470696198122116,False,False,6.134441264370976e-09,29663,220545,41,61,Demographics,Demographics,mean,0.014413052333533965
2069,2017-04-25 00:00:00-2019-12-23 00:00:00,0.13,0.6,125,2017-04-05 00:00:00-2019-08-03 00:00:00,0.02,0.16,13,2.632259175544553,0.008554092422709365,False,False,1.2608604231616062e-12,29663,220545,41,61,Demographics,Demographics,mean,0.014539379338086338
2355,2017-07-20 00:00:00-2019-11-06 00:00:00,0.04,0.25,31,2017-03-08 00:00:00-2019-10-14 00:00:00,0.09,0.38,89,-2.632046946144942,0.008560212309871211,False,False,2.2795396074811127e-06,29663,220545,41,61,Demographics,Demographics,mean,0.014539379338086338
859,2017-04-20 00:00:00-2019-12-26 00:00:00,0.11,0.39,110,2018-01-30 00:00:00-2018-07-12 00:00:00,0.01,0.11,2,2.6401849830840485,0.00881865523833707,False,False,4.615827373506805e-20,29663,220545,41,61,Demographics,Demographics,mean,0.014964990707481089
2369,2017-07-20 00:00:00-2019-11-06 00:00:00,0.04,0.25,31,2017-05-27 00:00:00-2019-12-05 00:00:00,0.03,0.32,25,2.6160373462446103,0.009001164217557126,False,False,0.056897033111465045,29663,220545,41,61,Demographics,Demographics,mean,0.015261101220150283
2084,2017-04-25 00:00:00-2019-12-23 00:00:00,0.13,0.6,125,2017-07-02 00:00:00-2019-07-26 00:00:00,0.03,0.34,21,2.609778031703954,0.009144875705310524,False,False,1.1827418824185358e-14,29663,220545,41,61,Demographics,Demographics,mean,0.015490963828212844
2079,2017-04-25 00:00:00-2019-12-23 00:00:00,0.13,0.6,125,2017-06-13 00:00:00-2019-10-25 00:00:00,0.02,0.3,20,2.60683358782606,0.009215990302743539,False,False,1.3208354048927438e-13,29663,220545,41,61,Demographics,Demographics,mean,0.015597551587932176
1269,2017-03-09 00:00:00-2019-12-30 00:00:00,0.79,2.05,809,2018-01-30 00:00:00-2018-07-12 00:00:00,0.01,0.11,2,2.6022534203866834,0.009948079455989165,False,False,7.589190973273714e-56,29663,220545,41,61,Demographics,Demographics,mean,0.01682161925772946
365,2017-04-05 00:00:00-2019-12-20 00:00:00,0.19,0.7,189,2017-03-04 00:00:00-2019-12-30 00:00:00,0.31,0.88,324,-2.572343934231659,0.010172312971208748,False,False,6.085615503141862e-06,29663,220545,41,61,Demographics,Demographics,mean,0.01718552253520981
195,2017-11-02 00:00:00-2019-07-27 00:00:00,0.03,0.2,19,2017-07-15 00:00:00-2019-09-24 00:00:00,0.08,0.83,65,2.557902084856007,0.010707621315906003,False,False,0.5058495302541384,29663,220545,41,61,Demographics,Demographics,mean,0.018073857256635666
1637,2018-01-22 00:00:00-2018-07-30 00:00:00,0.01,0.1,2,2017-03-05 00:00:00-2019-12-21 00:00:00,0.47,1.66,484,-2.5689521502736974,0.010722941781321951,False,False,9.169225240182735e-29,29663,220545,41,61,Demographics,Demographics,mean,0.01808368569675553
1880,2017-03-09 00:00:00-2019-12-16 00:00:00,0.31,1.14,319,2018-08-03 00:00:00-2019-07-12 00:00:00,0.01,0.11,4,2.5579479846293225,0.010783861181529667,False,False,5.132629983941974e-27,29663,220545,41,61,Demographics,Demographics,mean,0.018170328928878307
138,2017-06-16 00:00:00-2019-12-20 00:00:00,0.02,0.15,18,2017-11-30 00:00:00-2019-08-29 00:00:00,0.01,0.13,4,2.549368078887807,0.010892147224374125,False,False,0.0020751481004094192,29663,220545,41,61,Demographics,Demographics,mean,0.018336559076223106
387,2017-03-22 00:00:00-2019-12-03 00:00:00,0.08,0.43,81,2017-03-08 00:00:00-2019-10-14 00:00:00,0.09,0.38,89,-2.531283987058691,0.011451210288742616,False,False,0.10653631331988922,29663,220545,41,61,Demographics,Demographics,mean,0.019260692923821505
717,2017-06-12 00:00:00-2019-12-06 00:00:00,0.04,0.2,37,2017-08-15 00:00:00-2019-09-12 00:00:00,0.08,0.56,59,2.5221407214103104,0.011760096559348189,False,False,0.0827561164204012,29663,220545,41,61,Demographics,Demographics,mean,0.019762774800528644
1093,2017-03-04 00:00:00-2019-12-30 00:00:00,12.98,10.24,13395,2017-03-07 00:00:00-2019-12-30 00:00:00,5.3,5.38,5450,2.4990461539796485,0.012532005928387472,False,False,6.590768821249779e-22,29663,220545,41,61,Demographics,Demographics,mean,0.02104139266988514
703,2017-06-12 00:00:00-2019-12-06 00:00:00,0.04,0.2,37,2017-03-16 00:00:00-2019-11-04 00:00:00,0.02,0.16,19,2.4786252710371075,0.01328417813262228,False,False,0.007560467209570935,29663,220545,41,61,Demographics,Demographics,mean,0.02228464772203773
2368,2017-07-20 00:00:00-2019-11-06 00:00:00,0.04,0.25,31,2017-07-15 00:00:00-2019-09-24 00:00:00,0.08,0.83,65,2.4745299018811004,0.01346966940180705,False,False,0.8785800520165855,29663,220545,41,61,Demographics,Demographics,mean,0.022575924772042802
1936,2017-06-24 00:00:00-2019-12-13 00:00:00,0.12,0.54,105,2017-07-02 00:00:00-2019-07-04 00:00:00,0.01,0.08,5,2.455984209403723,0.014160952832709276,False,False,7.377372914576204e-11,29663,220545,41,61,Demographics,Demographics,mean,0.02371368002944456
