,e,e_µ,e_std,e_size,h,h_µ,h_std,h_size,t-value,p-value,e_normal,h_normal,chi-squared test,Dh_size,De_size,#h,#e,segmentation,pivot,test,p-value (FDR)
1,2019-02-28 00:00:00-2019-12-30 00:00:00,27.34,16.73,8367,2017-02-28 00:00:00-2018-12-17 00:00:00,214.46,100.62,141113,-11.553243073430691,2.5045077679914004e-28,False,False,2.463493808815583e-102,160139,71070,2,2,Demographics,Promotion,mean,1.0018031071965602e-27
0,2019-02-28 00:00:00-2019-12-30 00:00:00,27.34,16.73,8367,2017-03-04 00:00:00-2018-12-17 00:00:00,29.09,16.77,19026,-7.543271697481367,1.3411558049204011e-13,False,False,3.5141723373307747e-103,160139,71070,2,2,Demographics,Promotion,mean,2.6823116098408023e-13
2,2019-02-28 00:00:00-2019-12-30 00:00:00,204.91,100.33,62703,2017-03-04 00:00:00-2018-12-17 00:00:00,29.09,16.77,19026,4.775729482376073,2.262067815815048e-06,False,False,2.2862919751052063e-102,160139,71070,2,2,Demographics,Promotion,mean,3.0160904210867303e-06
3,2019-02-28 00:00:00-2019-12-30 00:00:00,204.91,100.33,62703,2017-02-28 00:00:00-2018-12-17 00:00:00,214.46,100.62,141113,1.7714551652399955,0.07704525518400679,False,False,1.6035164451027176e-101,160139,71070,2,2,Demographics,Promotion,mean,0.07704525518400679
