result,coverage,p-value,capitalRisk
1,0.5847672170007485,1.3514946854504583e-06,0.015033955436813427
2,0.6594353010895783,1.2130794189651159e-05,0.015021824642623777
3,0.7208423438409715,1.9304843906300167e-05,0.015002519798717476
4,0.7776865175081095,1.6213200024073734e-07,0.015002357666717236
5,0.8317781543707893,1.4689839187686628e-07,0.015002210768325358
6,0.8843817578807286,2.196897394497892e-07,0.01500199107858591
7,0.9283235777260251,0.00015511493066054278,0.014846876147925367
8,0.9549613241287532,0.002567069018736052,0.012279807129189314
9,0.9787997483989022,0.012279807129189314,0.0
