result,coverage,p-value,capitalRisk
1,0.5540916368626798,1.4689839187686628e-07,0.015035160033107
2,0.6109358105298178,1.6213200024073734e-07,0.01503499790110676
3,0.6635394140397571,2.196897394497892e-07,0.015034778211367311
4,0.7483066310405057,1.3514946854504583e-06,0.01503342671668186
5,0.8229747151293354,1.2130794189651159e-05,0.01502129592249221
6,0.8843817578807286,1.9304843906300167e-05,0.01500199107858591
7,0.9283235777260251,0.00015511493066054278,0.014846876147925367
8,0.9549613241287532,0.002567069018736052,0.012279807129189314
9,0.9787997483989022,0.012279807129189314,0.0
