result,coverage,p-value,capitalRisk
1,0.0038502410250881706,1.0045585342232435e-07,1.1600195021357137e-05
2,0.03617590775779067,1.3421286124251701e-11,1.1600181600071012e-05
3,0.04002614878287884,4.089901500772101e-09,1.159609169857024e-05
4,0.043876389807967014,1.53848101907293e-09,1.1594553217551167e-05
5,0.047726630833055186,4.778226031589224e-07,1.1116730614392245e-05
6,0.05157687185814336,1.3222607314981083e-06,9.794469882894136e-06
7,0.05542711288323153,8.396081444533372e-08,9.710509068448803e-06
8,0.08390253859084586,9.533151668380678e-06,1.77357400068125e-07
9,0.08775277961593403,1.7735740006812523e-07,0.0
