result,coverage,p-value,capitalRisk
1,0.5128906574898112,4.56382232642986e-190,2.059487882072591e-60
2,0.5300608729102554,9.681391534857869e-180,2.059487882072591e-60
3,0.5457872411211845,3.0170618420260874e-178,2.059487882072591e-60
4,0.5634266094152874,2.6377337083496183e-172,2.059487882072591e-60
5,0.5970041794893122,3.0441577663411256e-140,2.059487882072591e-60
6,0.6336474881477169,1.3414335501970105e-134,2.059487882072591e-60
7,0.6957628087831655,4.117954126381068e-101,2.059487882072591e-60
8,0.7776449305497796,9.799256324888542e-82,2.059487882072591e-60
9,0.8725619645679115,1.102108974719621e-73,2.0594878820724808e-60
10,0.9806932545953588,2.0594878820724808e-60,0.0
