result,coverage,p-value,capitalRisk
1,0.6081312900274474,1.30342394138144e-32,5.970364864655514e-26
2,0.7030483240455793,1.207179736892629e-35,5.970364863448334e-26
3,0.7849304458121933,6.887784327367685e-34,5.970364794570492e-26
4,0.8470457664476421,1.7879559133871311e-34,5.970364776690932e-26
5,0.8836890751060468,3.1201263384268222e-34,5.970364745489669e-26
6,0.9172666451800715,2.455132731575001e-34,5.970364720938342e-26
7,0.9349060134741745,3.4327009060647364e-28,5.936037711877694e-26
8,0.9520762288946186,5.666161253128851e-32,5.936032045716441e-26
9,0.9678025971055477,4.0570671408423285e-27,5.530325331632208e-26
10,0.9806932545953589,5.530325331632208e-26,0.0
