result,coverage,p-value,capitalRisk
1,0.6081312900274474,6.489381330687865e-88,1.339438349158916e-100
2,0.7030483240455793,1.3390844322885941e-100,0.0
3,0.7849304458121933,1.007941470752712e-107,0.0
4,0.8470457664476421,7.731176675467883e-126,0.0
5,0.8836890751060468,1.0428233662249212e-157,0.0
6,0.9172666451800715,3.651239597608089e-163,0.0
7,0.9349060134741745,2.910383558038994e-194,0.0
8,0.9520762288946186,1.1275400602650052e-201,0.0
9,0.9678025971055477,4.3041460100479315e-200,0.0
10,0.9806932545953589,9.486024538906396e-212,0.0
