result,coverage,p-value,capitalRisk
1,0.6081312900274474,2.0594878820724808e-60,1.1026660011144587e-73
2,0.7030483240455793,1.102108974719621e-73,0.0
3,0.7849304458121933,9.799256324888542e-82,0.0
4,0.8470457664476421,4.117954126381068e-101,0.0
5,0.8836890751060468,1.3414335501970105e-134,0.0
6,0.9172666451800715,3.0441577663411256e-140,0.0
7,0.9349060134741745,2.6377337083496183e-172,0.0
8,0.9520762288946186,9.681391534857869e-180,0.0
9,0.9678025971055477,3.0170618420260874e-178,0.0
10,0.9806932545953589,4.56382232642986e-190,0.0
