result,coverage,p-value,capitalRisk
1,0.6081312900274474,2.1963799190815374e-25,1.2271647851670194e-07
2,0.7030483240455793,7.133299829240144e-27,1.2271647851670194e-07
3,0.7849304458121933,6.476088384790436e-24,1.2271647851670194e-07
4,0.8470457664476421,7.731056863519638e-21,1.227164785166942e-07
5,0.8836890751060468,3.826962667130955e-10,1.2233378224998112e-07
6,0.9172666451800715,5.723730159866219e-08,6.509648065131891e-08
7,0.9349060134741745,6.50350777868016e-08,6.140286451731412e-11
8,0.9520762288946186,6.135774956357704e-11,4.51149537308964e-14
9,0.9678025971055477,4.511495373067594e-14,0.0
10,0.9806932545953589,2.521020539694125e-28,0.0
