result,coverage,p-value,capitalRisk
1,0.5128906574898112,1.2898122068129517e-111,0.0012421959739547545
2,0.5300608729102554,9.438334466919079e-99,0.0012421959739547545
3,0.5457872411211845,3.142054681545573e-98,0.0012421959739547545
4,0.5634266094152874,3.361618624122472e-91,0.0012421959739547545
5,0.5970041794893122,1.2232606644351772e-49,0.0012421959739547545
6,0.6336474881477169,2.0065791276845266e-42,0.0012421959739547545
7,0.7417787781751642,5.79782641601475e-06,0.0012363981475387398
8,0.8038940988106129,7.790736107225464e-06,0.0012286074114315143
9,0.8988111328287448,0.0012286074114315143,0.0
